YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,CONF,NEW.CHCKS_DAY1,NEW.CHCKS_DAY2,NEW.CHCKS_DAY3,NEW.CHCKS_DAY4,NEW.CHCKS_DAY5,NEW.CHCKS_DAY6,NEW.CHCKS_DAY7,SPAN
2004,Main Gate,LC,7,2,NA,NA,0,5,3,2,,,,,,,,,
2004,South Central LA,CR,8,1,20,9,0,11,8,5,,,,,,,,,
2004,US Flag,CR,17,1,17,6,0,11,10,6,,,,,,,,,
2011,5 Silohs,CR,7,1,7,0,0,7,5,1,,,,,,,,,
2012,East Refuge Field,CR,8,1,12,0,3,12,6,1,,,,,,,,,
2012,Entrance,CR,3,1,10,0,1,9,6,3,,,,,,,,,
2012,Northeast Farm,CR,9,1,24,NA,,13,11,2,,,,,,,,,
2012,Rickety Gate,CR,9,2,19,10,0,9,7,2,,,,,,,,,
2012,South Mango Arroyo,CR,5,2,21,5,5,8,7,5,,,,,,,,,
2013,East Fence,CR,7,NA,NA,NA,,NA,3,2,,,,,,,,,
2013,East Refuge Field,CR,6,NA,NA,NA,,NA,3,2,,,,,,,,,
2013,West Airstrip Road,CR,9,1,10,NA,,NA,7,4,,,,,,,,,
2013,West Weatherstation,CR,5,1,8,NA,,8,8,4,,,,,,,,,
2014,East Fence,CR,4,1,7,NA,,7,5,2,,,,,,,,,
2014,Northeast,CR,5,1,7,NA,,7,5,5,,,,,,,,,
2014,West Gully,CR,4,1,16,NA,,10,6,4,,,,,,,,,
2014,West Tamarind,CR,7,1,18,NA,5+,9,6,4,,,,,,,,,
2014,West Weatherstation,CR,2,1,5,NA,,5,5,5,,,,,,,,,
2021,Farm Entrance,CR,10,1,16,2,,12,11,8,,,,,,,,,
2021,N^2,CR,5,2,7,0,0,7,6,6,,,,,,,,,
2021,Vulture Pond,CR,6,1,8,0,0,8,7,6,,,,,,,,,
