YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,NEST FATE,Notes,,
2000,Mangrove,CR,6,1,14,2,0,12,0,,DP,,,
2003,Mangrove,CR,8,NA,NA,NA,NA,NA,NA,NA,,,,
2011,Mid Fence,CR,6,,,,,,,,,,,
2003,Middle Road,LC,3,1,4,0,0,4,2,2,SUCC,,,
2003,Middle Road,LC,3,2,5,0,0,5,5,2,,,,
2004,Middle Road,LC,6,1,11,1,4,6,4,3,PSUC,,,
2005,Midfarm,CR,,1,19,8,0,11,0,,ABD,,,
2006,Midfarm,CR,16,1,19,8,3,8,8,,,,,
2007,Midfarm,CR,9,,22,9,1,,6,,DP,,,
2011,Midfarm,CR,7,,,,,,,,,,,
2012,Midpond,CR,4,,,,,,,,,,,
2013,Midpond,CR,5,,,,,,,,,,,
2011,Muddy Corner,CR,9,,,,,,,,,,,
2012,N^2,CR,3,1,4,0,4,0,,,DP,,,
2013,N^2,CR,3,,,,,,,,,,,
2021,N^2,CR,5,1,2,0,1,0,,,ABD,,,
2021,N^2,CR,5,2,7,0,0,7,6,6,SUCC,,,
2004,North Bamboo,LC,11,1,NA,NA,2,NA,NA,2,,,,
2012,North Cactus,CR,11,1,14,1,5,8,8,5,SUCC,,,
2013,North Cactus,CR,10,,,,,,,,,,,
2000,North Central Gate,LC,2,1,7,0,0,7,6,5,,,,
2003,North Central Gate,LC,6,1,19,4,2,13,9,4,PSUC,,,
2004,North Central Lagoon,LC,6,1,26,7,3,16,12,9,PSUC,,,
2021,North Congrejos,CR,6,1,11,UNK,2,8,6,,NNA,,,
2007,North East Citgo,CR,,,,,,,,,ABD,,,
1999,North East Fence,CR,2,1,5,0,5,0,,,,,,
2021,North Entrance,CR,4,1,,,,,,,,,,
2003,North Farm,CR,5,1,15,5,0,10,9,0,DP,,,
2004,North Farm,CR,2,1,4,0,0,4,3,2,PSUC,,,
2006,North Farm,CR,,,3NA,NA,NA,3,3,,,,,
2014,North Farm,CR,4,1,20,1+,,13,9,,,,,
2012,North Farm Pond,CR,5,1,,0,1,0,6,0,DP,,,
